step,initial_population,mean_ini_sugar,mean_ini_vision,mean_ini_metabolism,rate_survive,avg_sugar,dev_sugar,rate_increasable
28,176,16.43181818,5.335227273,2.443181818,0.75,52.93939394,34.59906842,0.643939394
29,107,13.86915888,5.289719626,2.448598131,0.747663551,50.6625,34.59053201,0.6625
29,121,16.69421488,5.115702479,2.462809917,0.719008264,52.11494253,34.56353277,0.655172414
28,59,15.10169492,5.86440678,2.661016949,0.813559322,43.97916667,34.56076338,0.5
29,48,16.04166667,5.8125,2.333333333,0.791666667,57.23684211,34.55777318,0.684210526
28,130,16.42307692,5.930769231,2.515384615,0.746153846,52.71134021,34.53378743,0.649484536
29,80,15.625,5.05,2.3125,0.7,57.78571429,34.52520254,0.75
29,191,15.41884817,5.319371728,2.523560209,0.691099476,55.14393939,34.51720062,0.727272727
29,162,13.90123457,6.043209877,2.425925926,0.820987654,52.88721805,34.50662083,0.69924812
29,309,15.33009709,5.533980583,2.433656958,0.741100324,52.33624454,34.49568427,0.689956332
29,300,15.71666667,5.77,2.496666667,0.723333333,53.01843318,34.48952647,0.709677419
29,148,16.09459459,5.574324324,2.378378378,0.75,54.66666667,34.46429861,0.657657658
29,276,15.61594203,5.380434783,2.449275362,0.742753623,49.53170732,34.45692422,0.63902439
29,112,14.98214286,5.544642857,2.455357143,0.723214286,60.0617284,34.45371739,0.802469136
29,222,15.07657658,5.603603604,2.355855856,0.774774775,49.87209302,34.40328303,0.656976744
29,262,15.91603053,5.580152672,2.625954198,0.729007634,49.2565445,34.38959675,0.591623037
29,175,15.57714286,5.171428571,2.508571429,0.714285714,51.04,34.36976353,0.64
29,79,16.15189873,5.607594937,2.341772152,0.734177215,58.44827586,34.34661934,0.775862069
29,300,15.91666667,5.556666667,2.436666667,0.73,52.66666667,34.33113618,0.662100457
28,132,15.49242424,5.651515152,2.537878788,0.765151515,48.30693069,34.33037797,0.633663366
29,313,15.95846645,5.533546326,2.552715655,0.741214058,53.29741379,34.31698925,0.668103448
29,205,16.17560976,5.785365854,2.512195122,0.756097561,52.92258065,34.31169871,0.651612903
29,67,15.74626866,5.910447761,2.492537313,0.791044776,52.62264151,34.30924209,0.660377358
29,340,15.40882353,5.505882353,2.5,0.708823529,50.48962656,34.30428934,0.651452282
29,154,16.14285714,5.402597403,2.623376623,0.707792208,51.48623853,34.28978216,0.633027523
29,229,15.00873362,5.602620087,2.484716157,0.720524017,55.11515152,34.2829699,0.709090909
29,61,14.63934426,5.442622951,2.475409836,0.737704918,52.64444444,34.27572395,0.711111111
29,341,15.69208211,5.448680352,2.454545455,0.739002933,51.51190476,34.2755976,0.666666667
29,153,16.24836601,5.529411765,2.516339869,0.797385621,50.12295082,34.25417339,0.631147541
29,156,16.18589744,5.487179487,2.493589744,0.782051282,50.59836066,34.25105653,0.631147541
29,163,16.35582822,5.263803681,2.625766871,0.73006135,50.86554622,34.24783164,0.621848739
29,313,16.4057508,5.428115016,2.469648562,0.715654952,54.04017857,34.24290954,0.674107143
29,214,15.24766355,5.836448598,2.523364486,0.757009346,52.75925926,34.23463169,0.685185185
29,175,15.09142857,5.274285714,2.285714286,0.76,52.80451128,34.22020019,0.714285714
29,206,16.08737864,5.339805825,2.504854369,0.694174757,56.87412587,34.2159396,0.713286713
29,177,14.66666667,4.943502825,2.723163842,0.700564972,45.16935484,34.21185117,0.564516129
28,203,16.31527094,5.369458128,2.512315271,0.694581281,53.17021277,34.19919745,0.666666667
29,217,14.11981567,5.437788018,2.465437788,0.714285714,54.10967742,34.19739637,0.703225806
29,409,15.99022005,5.555012225,2.474327628,0.71393643,52.64726027,34.19494686,0.657534247
29,234,15.4017094,5.683760684,2.521367521,0.747863248,50.77714286,34.17772251,0.668571429
27,39,14.53846154,4.58974359,2.692307692,0.538461538,46.52380952,34.15936043,0.666666667
28,109,15.67889908,5.311926606,2.532110092,0.788990826,50.47674419,34.13906741,0.61627907
29,207,16.56038647,5.782608696,2.444444444,0.734299517,54.69736842,34.13743929,0.690789474
29,290,15.14827586,5.272413793,2.486206897,0.720689655,52.5645933,34.12937616,0.669856459
29,100,15.44,5.86,2.63,0.72,52.72222222,34.12909305,0.708333333
29,225,14.43555556,5.311111111,2.48,0.706666667,52.60377358,34.12412541,0.679245283
28,179,15.31284916,5.731843575,2.458100559,0.770949721,50.14492754,34.12355197,0.65942029
29,58,17.89655172,5.24137931,2.534482759,0.724137931,53.78571429,34.12354578,0.69047619
29,401,15.06982544,5.598503741,2.466334165,0.74563591,50.40802676,34.09649851,0.652173913
28,96,16.53125,5.3125,2.291666667,0.75,57.54166667,34.0955317,0.722222222
29,295,15.39322034,5.498305085,2.396610169,0.742372881,54.02739726,34.09510684,0.694063927
29,369,15.19241192,5.325203252,2.468834688,0.712737127,51.92775665,34.09067542,0.673003802
29,289,16.12456747,5.771626298,2.557093426,0.740484429,52.70093458,34.06034825,0.654205607
29,145,14.6,5.406896552,2.531034483,0.772413793,50.94642857,34.05211673,0.651785714
29,349,15.83954155,5.610315186,2.573065903,0.699140401,53.36065574,34.03932985,0.680327869
29,121,15.9338843,5.504132231,2.388429752,0.768595041,54,34.0338706,0.709677419
28,243,14.34156379,5.382716049,2.440329218,0.765432099,52.46774194,34.01178702,0.666666667
29,176,16.65909091,5.897727273,2.613636364,0.704545455,52.04032258,33.99794331,0.661290323
29,290,15.35862069,5.393103448,2.565517241,0.686206897,51.67839196,33.99713424,0.668341709
29,45,15.57777778,5.444444444,2.466666667,0.733333333,50,33.98345186,0.636363636
29,162,16.10493827,5.592592593,2.401234568,0.722222222,56.53846154,33.96385971,0.726495726
29,344,16.51744186,5.549418605,2.485465116,0.738372093,51.86614173,33.95832419,0.653543307
29,201,16.00497512,5.527363184,2.47761194,0.741293532,53.34899329,33.94449487,0.677852349
29,186,16.04301075,5.634408602,2.333333333,0.811827957,53.69536424,33.94426675,0.682119205
29,39,15.74358974,6.025641026,2.58974359,0.794871795,52.96774194,33.9416007,0.741935484
29,178,15.24157303,5.578651685,2.438202247,0.758426966,53.85185185,33.9366219,0.681481481
29,320,15.553125,5.2375,2.45625,0.725,50.61637931,33.93441968,0.659482759
28,253,15.8972332,5.363636364,2.347826087,0.790513834,52.42,33.92844377,0.68
29,228,15.13157895,5.570175439,2.486842105,0.719298246,53.48170732,33.88332064,0.670731707
29,40,14.175,5.875,2.775,0.7,42.64285714,33.87145011,0.571428571
29,247,15.15384615,5.5951417,2.477732794,0.708502024,52.93714286,33.86385085,0.702857143
28,51,18.74509804,6.176470588,2.62745098,0.745098039,53.71052632,33.85973284,0.657894737
28,218,15.14678899,5.577981651,2.54587156,0.711009174,52.80645161,33.85628465,0.664516129
29,76,15.56578947,4.842105263,2.342105263,0.789473684,51.95,33.84932966,0.683333333
29,253,15.49802372,5.351778656,2.498023715,0.711462451,53.3,33.84468304,0.672222222
29,340,16.35,5.270588235,2.467647059,0.714705882,51.54320988,33.83029453,0.658436214
29,82,16.12195122,5.780487805,2.487804878,0.731707317,57.93333333,33.81047208,0.733333333
29,272,16.13602941,5.628676471,2.477941176,0.727941176,53.23232323,33.80124897,0.671717172
28,125,14.824,5.76,2.472,0.832,51.15384615,33.80031861,0.663461538
29,282,16.03191489,5.191489362,2.531914894,0.755319149,48.42253521,33.77003052,0.600938967
29,301,15.59800664,5.564784053,2.388704319,0.737541528,54.52702703,33.76625386,0.702702703
29,216,15.16666667,5.486111111,2.361111111,0.75,55.16666667,33.76319618,0.703703704
28,281,16.65124555,5.320284698,2.423487544,0.754448399,51.49528302,33.74907373,0.674528302
29,200,15.94,5.61,2.45,0.785,50.03821656,33.74791263,0.649681529
29,315,15.93650794,5.768253968,2.380952381,0.780952381,53.17479675,33.73337739,0.678861789
28,251,15.18326693,5.513944223,2.482071713,0.752988048,50.75132275,33.72978608,0.677248677
29,459,15.89978214,5.673202614,2.468409586,0.727668845,51.23053892,33.72362716,0.646706587
29,132,15.59848485,5.537878788,2.356060606,0.810606061,53.01869159,33.70487376,0.682242991
29,215,15.26511628,5.274418605,2.520930233,0.725581395,51.39102564,33.70317755,0.666666667
29,414,15.2826087,5.54589372,2.516908213,0.722222222,48.84280936,33.68326671,0.618729097
29,37,16.45945946,5.918918919,2.432432432,0.756756757,62.28571429,33.68025814,0.821428571
29,96,16.11458333,5.114583333,2.479166667,0.65625,54.95238095,33.67464279,0.698412698
29,455,15.98901099,5.516483516,2.448351648,0.725274725,50.68484848,33.67235408,0.648484848
29,413,14.95157385,5.370460048,2.474576271,0.707021792,51.4109589,33.67107342,0.678082192
28,123,15.58536585,5.463414634,2.62601626,0.772357724,49.97894737,33.66701111,0.631578947
29,514,15.61673152,5.43385214,2.428015564,0.73540856,50.14814815,33.66300868,0.645502646
25,58,16.03448276,5.75862069,2.431034483,0.75862069,50.86363636,33.65943726,0.659090909
29,267,14.35955056,5.520599251,2.43071161,0.72659176,54.17010309,33.65763212,0.716494845
29,202,15.12376238,5.465346535,2.45049505,0.752475248,53.28947368,33.65635285,0.684210526
28,143,14.30769231,4.755244755,2.286713287,0.776223776,46.65765766,33.65209584,0.612612613
29,209,15.68421053,5.846889952,2.468899522,0.71291866,55.12751678,33.63803522,0.718120805
29,336,15.29166667,5.607142857,2.44047619,0.726190476,53.6352459,33.62517532,0.68852459
29,210,15.52380952,5.571428571,2.519047619,0.780952381,51.19512195,33.62329715,0.652439024
29,120,15.45,5.375,2.416666667,0.708333333,55.34117647,33.6199179,0.705882353
29,157,15.19745223,5.242038217,2.484076433,0.738853503,48.5862069,33.61730118,0.620689655
28,161,15.85093168,5.708074534,2.47826087,0.832298137,48.52238806,33.61429082,0.619402985
29,282,15.27304965,5.411347518,2.407801418,0.734042553,52.2705314,33.60975718,0.671497585
29,371,15.47169811,5.342318059,2.46361186,0.733153639,48.03676471,33.60513229,0.613970588
29,151,15.77483444,5.721854305,2.42384106,0.728476821,52.56363636,33.60415201,0.672727273
29,216,15.26851852,5.305555556,2.50462963,0.712962963,52.24675325,33.57350957,0.701298701
29,469,15.86993603,5.752665245,2.471215352,0.744136461,49.75931232,33.57303679,0.624641834
29,448,15.41071429,5.339285714,2.488839286,0.714285714,49.11875,33.57084342,0.640625
29,135,14.67407407,5.02962963,2.42962963,0.748148148,50.69306931,33.55286652,0.663366337
29,388,15.79896907,5.322164948,2.492268041,0.708762887,52.94181818,33.55119572,0.690909091
29,155,15.43225806,5.277419355,2.567741935,0.735483871,54.02631579,33.54707709,0.692982456
29,76,14.03947368,5.789473684,2.592105263,0.789473684,42.58333333,33.54647253,0.55
29,62,16.64516129,5.387096774,2.661290323,0.709677419,52.88636364,33.5463691,0.659090909
29,102,15.16666667,5.529411765,2.421568627,0.823529412,50.85714286,33.54556077,0.69047619
29,137,15.53284672,5.423357664,2.671532847,0.737226277,48.3960396,33.5449189,0.633663366
29,345,15.59130435,5.646376812,2.524637681,0.698550725,52.81327801,33.54428649,0.680497925
28,27,16.14814815,5.222222222,2.851851852,0.62962963,42.70588235,33.53312673,0.588235294
29,229,15.83842795,5.56768559,2.388646288,0.733624454,54.04166667,33.53278031,0.744047619
29,104,17.66346154,5.576923077,2.538461538,0.778846154,49.5308642,33.52651429,0.592592593
29,345,14.66956522,5.365217391,2.365217391,0.753623188,53.01538462,33.52069254,0.707692308
28,188,16.23404255,5.457446809,2.627659574,0.696808511,48.90076336,33.51873299,0.625954198
29,267,15.76779026,5.595505618,2.441947566,0.741573034,52.58585859,33.51793522,0.651515152
29,358,15.24581006,5.43575419,2.444134078,0.75698324,51.33579336,33.50347924,0.671586716
29,340,14.90588235,5.585294118,2.511764706,0.720588235,48.93061224,33.50151822,0.640816327
28,58,17.82758621,5.775862069,2.120689655,0.862068966,57.26,33.49858967,0.76
29,161,15.97515528,5.422360248,2.366459627,0.720496894,57.42241379,33.49371151,0.732758621
29,414,16.25845411,5.770531401,2.492753623,0.739130435,52.81045752,33.46909544,0.683006536
29,34,16.20588235,5,2.5,0.705882353,47.625,33.44536427,0.625
29,326,15.23006135,5.190184049,2.475460123,0.73006135,47.75630252,33.44028405,0.609243697
29,138,16.11594203,5.362318841,2.463768116,0.746376812,50.51456311,33.43881274,0.631067961
29,358,14.77374302,5.586592179,2.472067039,0.723463687,50.50965251,33.43469429,0.667953668
28,202,16.1039604,5.465346535,2.465346535,0.772277228,49.83974359,33.43274362,0.628205128
29,449,15.5233853,5.34298441,2.363028953,0.732739421,55.24316109,33.43078703,0.720364742
28,105,15.78095238,5.304761905,2.428571429,0.742857143,52.66666667,33.42744291,0.705128205
